生物1-1	生物的特徵與生命現象	生物與非生物|生命現象|生物需要能量|生物會繁殖與適應
生物1-2	細胞的構造與功能	細胞學說|共有構造|植物細胞特有|顯微鏡觀察
生物1-3	生物體的組成層次	組成層次|組織|器官與系統|單細胞與多細胞
生物2-1	養分與酵素	六大類養分|養分的功能|酵素|酵素的特性
生物2-2	植物的營養：光合作用	光合作用|影響因素|氣孔與蒸散|植物是生產者
生物2-3	人體的消化與吸收	消化的意義|消化系統|消化酵素|吸收
生物3-1	植物體內的運輸	木質部|韌皮部|維管束|蒸散作用
生物3-2	人體的循環系統	循環系統組成|三種血管|血液的成分|兩種循環
生物3-3	淋巴與免疫	淋巴系統|免疫的防線|抗體與專一性|疫苗
生物4-1	神經系統與感覺	神經元|神經系統的分區|訊息傳遞路徑|反射
生物4-2	內分泌與協調	內分泌系統|激素的特性|常見腺體|神經與內分泌協調
生物4-3	恆定性	恆定性|體溫調節|血糖與水分調節|負回饋機制
生物5-1	細胞分裂	細胞分裂的意義|染色體|有絲分裂|減數分裂
生物5-2	無性生殖與有性生殖	無性生殖|無性生殖類型|有性生殖|兩者比較
生物5-3	動植物的生殖	植物的生殖|種子與傳播|動物的受精|胚胎發育
生物6-1	孟德爾的遺傳法則	孟德爾與豌豆實驗|顯性與隱性|分離律|遺傳圖解
生物6-2	性別決定與人類遺傳	人類染色體|性別決定|遺傳性狀|性聯遺傳
生物6-3	基因、突變與生物技術	基因與DNA|突變|生物技術|倫理議題
生物7-1	生物的演化	演化的概念|演化的證據|天擇說|變異與適應
生物7-2	生物的分類	分類的意義|分類階層|學名與二名法|生物分界
生物8-1	族群與群集	族群|群集|生物間交互作用|交互作用的影響
生物8-2	生態系與能量流動	生態系組成|食物鏈與食物網|能量流動|物質循環
生物8-3	生物多樣性與保育	生物多樣性|威脅|外來種問題|保育行動
八上1-1	科學的態度與方法	科學方法的歷程|變因與對照實驗|國際單位制 SI|測量、估計值與有效數字
八上1-2	長度、體積與時間的測量	長度的測量|體積的測量|時間的測量|測量誤差
八上1-3	質量的測量	質量與重量的區別|質量的單位|天平的使用|測量注意事項
